'Jeotgalibacillus soli'
Candidatus Kerfeldbacteria
Candidatus Komeilibacteria
Candidatus Korarchaeum
Candidatus Koribacter
Candidatus Kryptonium
Candidatus Kuenenbacteria
Candidatus Kuenenia
Candidatus Lambdaproteobacteria
Candidatus Levybacteria
Candidatus Lindowbacteria
Candidatus Liptonbacteria
Candidatus Lloydbacteria
Candidatus Magasanikbacteria
Candidatus Magnetobacterium
Candidatus Magnetoglobus
Candidatus Magnetomorum
Candidatus Magnetoovum
Candidatus Margulisbacteria
Candidatus Melainabacteria
Candidatus Methanoperedens
Candidatus Methylopumilus
Candidatus Microthrix
Candidatus Midichloria
Candidatus Moduliflexus
Candidatus Moranbacteria
Candidatus Muproteobacteria
Candidatus Nealsonbacteria
Candidatus Nitrosocaldus
Candidatus Nitrososphaera
Candidatus Nitrosotalea
Candidatus Nitrospira
Candidatus Nitrotoga
Candidatus Nomurabacteria
Candidatus Odinarchaeota
Candidatus Omnitrophica
Candidatus Omnitrophus
Candidatus Pacebacteria
Candidatus Pelagibacter
Candidatus Peregrinibacteria
Candidatus Peribacteria
Candidatus Phaeomarinobacter
Candidatus Phytoplasma
Candidatus Promineofilum
Candidatus Propionivibrio
Candidatus Protochlamydia
Candidatus Puniceispirillum
Candidatus Raymondbacteria
Candidatus Regiella
Candidatus Rhodobacter
Candidatus Rhodoluna
Candidatus Riflebacteria
Candidatus Roizmanbacteria
Candidatus Rokubacteria
Candidatus Rubidus
Candidatus Ryanbacteria
Candidatus Saccharibacteria
Candidatus Saccharimonas
Candidatus Scalindua
Candidatus Schekmanbacteria
Candidatus Solibacter
Candidatus Stoquefichus
Candidatus Sulfobium
Candidatus Sulfopaludibacter
Candidatus Sulfotelmatobacter
Candidatus Sulfotelmatomonas
Candidatus Sungbacteria
Candidatus Symbiobacter
Candidatus Symbiothrix
Candidatus Synechococcus
Candidatus Syntrophoarchaeum
Candidatus Tagabacteria
Candidatus Taylorbacteria
Candidatus Tectomicrobia
Candidatus Tenderia
Candidatus Terasakiella
Candidatus Thiodiazotropha
Candidatus Thioglobus
Candidatus Thiomargarita
Candidatus Tokpelaia
Candidatus Uhrbacteria
Candidatus Vecturithrix
Candidatus Wallbacteria
Candidatus Wildermuthbacteria
Candidatus Wirthbacteria
Candidatus Woesebacteria
Candidatus Wolfebacteria
Candidatus Woykebacteria
Candidatus Yanofskybacteria
Candidimonas nitroreducens
Capnocytophaga canimorsus
Capnocytophaga canis
Capnocytophaga cynodegmi
Capnocytophaga ochracea
Capnocytophaga sp.
Capronia coronata
Capronia epimyces
Capronia semiimmersa
Capsella rubella
Capsicum annuum
Carboxydibrachium pacificum
Carboxydocella sporoproducens
Carboxydothermus hydrogenoformans
Cardiobacterium hominis
Cardiobacterium valvarum
Carnobacterium divergens
Carnobacterium inhibens
Carnobacterium maltaromaticum
Carnobacterium sp.
Caryophanon tenue
Castellaniella defragrans
Catabacter hongkongensis
Catellibacterium sp.
Catellicoccus marimammalium
Catenibacterium mitsuokai
Catenibacterium sp.
Catenovulum agarivorans
Catenovulum maritimum
Catenulispora acidiphila
Catenulispora sp.
Catonella morbi
Caulobacter crescentus
Caulobacter henricii
Caulobacter segnis
Caulobacter sp.
Caulobacter vibrioides
Caulobacteraceae bacterium
Caulobacterales bacterium
Cecembia lonarensis
Cedecea davisae
Celeribacter baekdonensis
Celeribacter ethanolicus
Celeribacter halophilus
Celeribacter indicus
Celeribacter marinus
Celeribacter neptunius
Cellulomonas bogoriensis
Cellulomonas cellasea
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas sp.
Cellulophaga algicola
Cellulophaga lytica
Cellulophaga tyrosinoxydans
Cellulosimicrobium funkei
Cellulosimicrobium sp.
Cellvibrio japonicus
Cellvibrio sp.
Cephaloticoccus capnophilus
Cephalotus follicularis
Cereibacter ovatus
Cereibacter sphaeroides
Cesiribacter andamanensis
Cetobacterium ceti
Cetobacterium somerae
Chaetomium globosum
Chaetomium thermophilum
Chains: A,B,C,D,E,F,G,H,I,J,K,L
Chains: A,C,F,I,M,O
Chamaesiphon minutus
Chania multitudinisentens
Chelativorans sp.
Chelatococcus sp.
Chelonobacter oris
Chishuiella changwenlii
Chitinimonas taiwanensis
Chitinivibrio alkaliphilus
Chitinophaga ginsengisegetis
Chitinophaga jiangningensis
Chitinophaga niabensis
Chitinophaga pinensis
Chitinophaga sancti
Chitinophaga sp.
Chitinophagaceae bacterium
Chlamydiae bacterium
Chlamydiales bacterium
Chlamydomonas reinhardtii
Chlorobaculum parvum
Chlorobi bacterium
Chlorobium bathyomarinum
Chlorobium chlorochromatii
Chlorobium ferrooxidans
Chlorobium limicola
Chlorobium luteolum
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chlorobium sp.
Chlorobium tepidum
Chloroflexi bacterium
Chloroflexus aggregans
Chloroflexus aurantiacus
Chloroflexus sp.
Chloroherpeton thalassium
Choanephora infundibulifera
Chondromyces apiculatus
Chondromyces crocatus
Christensenella minuta
Chromatiaceae bacterium
Chromatiales bacterium
Chromobacterium amazonense
